split,variant,family,decision_variant,rows,alpha_mean,alpha_active_rate,alpha_final_error_auc,alpha_final_error_corr,q_entropy_mean,q_entropy_final_error_auc,q_entropy_final_error_corr,expected_utility,expected_positive_utility,expected_branch_correct,oracle_capture_mean,top_weight_branch_correct_rate,top_weight_matches_utility_rate,top_weight_matches_confidence_rate,w_text_mean,w_image_mean,w_fusion_mean,top_weight_text_rate,top_weight_image_rate,top_weight_fusion_rate,final_error_rate,low_margin_rate,high_risk_rate,boundary_trust_rate,weak_domain_rate,boundary_rows,boundary_expected_utility,boundary_expected_branch_correct,boundary_alpha_mean,non_boundary_rows,non_boundary_expected_utility,non_boundary_expected_branch_correct,non_boundary_alpha_mean,low_margin_rows,low_margin_expected_utility,low_margin_expected_branch_correct,low_margin_alpha_mean,high_risk_rows,high_risk_expected_utility,high_risk_expected_branch_correct,high_risk_alpha_mean,high_disagreement_rows,high_disagreement_expected_utility,high_disagreement_expected_branch_correct,high_disagreement_alpha_mean,weak_domain_rows,weak_domain_expected_utility,weak_domain_expected_branch_correct,weak_domain_alpha_mean,final_error_rows,final_error_expected_utility,final_error_expected_branch_correct,final_error_alpha_mean,final_correct_rows,final_correct_expected_utility,final_correct_expected_branch_correct,final_correct_alpha_mean
val_diagnostic,bua_anchor_static_aux2p0,anchor,True,615,0.0,0.0,0.5,,0.9999999999999998,0.5,,0.503535578754987,0.5783765641029006,0.8845528455284553,0.0,0.9235772357723577,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.6365996837648137,0.844097995545657,0.0,166,0.14362122243322709,0.9939759036144579,0.0,419,0.650623029579931,0.8369132856006364,0.0,440,0.6436571385987722,0.8409090909090908,0.0,451,0.618220815352945,0.8470066518847007,0.0,116,0.46007124589180676,0.8764367816091954,0.0,27,-0.16025134117505752,0.27160493827160487,0.0,588,0.5340155903844278,0.9126984126984127,0.0
val_diagnostic,bua_boundary_gated_utility_aux,primary,True,615,0.2960443552517548,0.6991869918699187,0.3285777273872512,-0.18590373039044059,0.1485858447618342,0.9361615016376921,0.5545173177945973,0.7730817115747879,0.8433032982750944,0.9142248615161999,0.2960443543401083,0.9398373983739837,0.8455284552845529,0.4813008130081301,0.36678127415406464,0.240020080492514,0.3931986453534214,0.6878048780487804,0.0032520325203252032,0.3089430894308943,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,1.0057998434177702,0.8847400664420109,0.4054950522936063,166,0.14362122243322709,0.9939759036144579,0.0,419,1.0163760391729328,0.8785076124572868,0.399470130433486,440,1.015706114069377,0.8823824768919611,0.40467246197608703,451,0.9487713846155736,0.8874684918679887,0.34794996879101836,116,0.663153401806285,0.9014885541295261,0.27030783799513103,27,0.14479204950768473,0.2973259021720526,0.1109531990429222,588,0.8019317470778692,0.9425518545473086,0.3045434389552217
val_diagnostic,bua_utility_only_aux_alloc,ablation,True,615,0.5,1.0,0.5,,0.1485858447618342,0.9361615016376921,0.5545173177945973,0.9118983161429053,0.981254279787835,0.9143906369276859,0.483739837398374,0.9398373983739837,1.0,0.3804878048780488,0.4037297927299314,0.18495763125151865,0.4113125760185499,0.5333333333333333,0.0032520325203252032,0.4634146341463415,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,1.133597153445076,0.8849671307584115,0.5,166,0.3122430272954677,0.9939759036144579,0.5,419,1.1522341337507025,0.8787206029556747,0.5,440,1.1453801311748901,0.8826141857057426,0.5,451,1.0935140437555468,0.8876945492472876,0.5,116,0.8207132566384063,0.9018036575776559,0.5,27,0.42459238946290717,0.31269492932846166,0.5,588,0.934274608694538,0.9420195214603032,0.5
val_diagnostic,bua_entropy_gated_utility_aux,ablation,True,615,0.42570707761908283,0.967479674796748,0.06383849836230789,-0.5545173177945973,0.1485858447618342,0.9361615016376921,0.5545173177945973,0.8160216792856515,0.8862394169803144,0.9142248615161999,0.42570707656301715,0.9398373983739837,1.0,0.3804878048780488,0.37551265702652176,0.1970718914077891,0.42741545156568916,0.5333333333333333,0.0032520325203252032,0.4634146341463415,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,1.0057998434177702,0.8847400664420109,0.4054950522936063,166,0.3027060425668486,0.9939759036144579,0.48037695334883573,419,1.0163760391729328,0.8785076124572868,0.399470130433486,440,1.015706114069377,0.8823824768919611,0.40467246197608703,451,0.9714219675272305,0.8874684918679887,0.4111697504543757,116,0.7268272737758585,0.9014885541295261,0.4156114444809913,27,0.14479204950768473,0.2973259021720526,0.1109531990429222,588,0.8468434479999458,0.9425518545473086,0.4401600618394169
val_diagnostic,bua_boundary_only_aux_strength,ablation,True,615,0.3650406504065041,0.7300813008130081,0.6217876039304611,0.11241555590204719,0.9999999999999998,0.5,,0.503535578754987,0.5783765641029006,0.8845528455284553,0.0,0.9235772357723577,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0,0.0,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.6365996837648137,0.844097995545657,0.5,166,0.14362122243322709,0.9939759036144579,0.0,419,0.650623029579931,0.8369132856006364,0.5,440,0.6436571385987722,0.8409090909090908,0.5,451,0.618220815352945,0.8470066518847007,0.43458980044345896,116,0.46007124589180676,0.8764367816091954,0.3448275862068966,27,-0.16025134117505752,0.27160493827160487,0.48148148148148145,588,0.5340155903844278,0.9126984126984127,0.3596938775510204
val_diagnostic,bua_shuffled_utility_control,control,True,615,0.3071094829093136,0.7024390243902439,0.581758629377677,0.06886098976188594,0.1485858447618342,0.5465482489292013,0.05403183236496777,0.5397009551505262,0.6130780613556756,0.906754376768448,191011.9613070126,0.9382113821138212,0.4878048780487805,0.4813008130081301,0.3638783454704707,0.23526078223862593,0.4008608722909034,0.6650406504065041,0.0016260162601626016,0.3333333333333333,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.6861357783823115,0.874507665284177,0.42065107347266784,166,0.14362122243322709,0.9939759036144579,0.0,419,0.7043169964244114,0.8675817317592743,0.41883772812114517,440,0.6953515088176635,0.8719407766195351,0.42018304857227196,451,0.6596790199555266,0.8772814672119633,0.36724552305476704,116,0.43055129028828953,0.8963991770388557,0.2915010829701093,27,-0.16178938997528555,0.25461360308543335,0.3765211500035948,588,0.5719122465083442,0.9366996163763414,0.3039222124815149
val_diagnostic,bua_shuffled_boundary_control,control,True,615,0.31185021445320216,0.7089430894308943,0.2598576467624087,-0.23862444894898738,0.1485858447618342,0.9361615016376921,0.5545173177945973,0.7219171023511056,0.7934349663083614,0.906638590602191,0.3118502137401321,0.9365853658536586,0.8878048780487805,0.3967479674796748,0.3584395901511686,0.23345630224677838,0.408104107602053,0.6455284552845528,0.0032520325203252032,0.35121951219512193,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.8942965801625007,0.8743490717602396,0.29548662926948044,166,0.2556617677889586,0.9939759036144579,0.35611075510073886,419,0.9052025394341334,0.8677655422211962,0.2933732663765197,440,0.9019221022475227,0.8717789391371535,0.29241386666283137,451,0.8661455782993502,0.8771235769852495,0.30139433264114485,116,0.6422354185390173,0.8934029087207329,0.2803042431991145,27,-0.013847579767575266,0.28335020567401537,0.07143128681138594,588,0.7557022153055348,0.9352589756244031,0.32288985908981616
val_diagnostic,bua_random_utility_control,control,True,615,0.08374492155287286,0.7300813008130081,0.6300390526581002,0.05131919042373993,0.765243401664051,0.5013227513227513,0.023174672508342493,0.5088807287791414,0.5838185899537763,0.8863536951468802,-8608.757518444225,0.8926829268292683,0.37886178861788616,0.4585365853658537,0.3345846702480698,0.33474353090376474,0.33067179884816544,0.5349593495934959,0.25040650406504067,0.2146341463414634,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.6439209917043569,0.846564638118778,0.11470629566818888,166,0.14362122243322709,0.9939759036144579,0.0,419,0.6587680582769015,0.8396965940731496,0.11500368349436411,440,0.6510203038262905,0.8434261875348439,0.11531918314571428,451,0.6249409866256,0.8494623559098256,0.09994474640412596,116,0.4775780747746226,0.879454373778392,0.07457154147629688,27,-0.16422493297133023,0.27467709752374614,0.10477798629071279,588,0.5397886418187039,0.9144408858540648,0.08277911755980877
val_diagnostic,bua_reverse_utility_control,control,True,615,0.0673096629941038,0.35772357723577236,0.7469450743260267,0.24852108335163292,0.8066803613555401,0.34454522549760647,-0.18421621972600666,0.4683239420134876,0.5472507969586408,0.8767490919273262,-23272.43412317931,0.8764227642276423,0.5186991869918699,0.48292682926829267,0.34146437266171603,0.33854767723239804,0.31998795010588604,0.9349593495934959,0.04715447154471545,0.01788617886178862,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.5883699363349201,0.8334091125507921,0.09219474998078807,166,0.14362122243322709,0.9939759036144579,0.0,419,0.5989440637246066,0.825540725425474,0.09261784215846287,440,0.5944421652740531,0.830001571671149,0.0932301507919362,451,0.5703005492894091,0.8363651697013427,0.08375146727938214,116,0.4059965055681971,0.8674620241318048,0.07537023586570366,27,-0.7946784410168363,0.20778776481903596,0.18708796662659363,588,0.5263189493975331,0.9074667038863803,0.06180963884771397
val_diagnostic,bua_confidence_only_branch_allocation,control,True,615,0.013132002791838529,0.7268292682926829,0.7682350718065004,0.14249845915164408,0.9737257613305668,0.23066263542454019,-0.14247296691961886,0.5055110736652957,0.5804248820791982,0.8861083815158795,-7637.634059833793,0.9398373983739837,0.38699186991869916,0.9398373983739837,0.33409232657548066,0.331671365086359,0.33423630833816026,0.5934959349593496,0.14146341463414633,0.26504065040650404,0.04390243902439024,0.6813008130081301,0.7154471544715447,0.7300813008130081,0.1886178861788618,449,0.6393055398223635,0.8462286294705254,0.017987041685925825,166,0.14362122243322709,0.9939759036144579,0.0,419,0.653322598742073,0.839016394090091,0.017828663102173813,440,0.6464183417164066,0.8430833059824225,0.01835494805666917,451,0.6209147383653535,0.8491278373220973,0.01790151758388657,116,0.46008880793247525,0.8773706721794675,0.011575739493032249,27,-0.14898007139818603,0.26769442486658646,0.033545957009297585,588,0.5355642384896393,0.9145049407497756,0.012194627343077654
