rows,macro_f1,accuracy,auc,brier,ece,high_conf_error_rate,dataset,seed,split,selector_mode,reliability_signal,reliability_lambda,variant_tag,checkpoint,reliability_stats_count
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.0386900321116994,0.027005988795778032,0.024390243902439025,weibo21,42,val,reliability,confidence_uncertainty,0.1,reliability_confidence_uncertainty_lambda0p1,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.0386900321116994,0.027005988795778032,0.024390243902439025,weibo21,42,val,reliability,confidence_uncertainty,0.2,reliability_confidence_uncertainty_lambda0p2,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874034902168165,0.03861947878437179,0.02437897259919628,0.024390243902439025,weibo21,42,val,reliability,confidence_uncertainty,0.5,reliability_confidence_uncertainty_lambda0p5,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874669487043892,0.03856752364945543,0.024362765288141783,0.022764227642276424,weibo21,42,val,reliability,confidence_uncertainty,1.0,reliability_confidence_uncertainty_lambda1p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.03869003231169586,0.027005501896482122,0.024390243902439025,weibo21,42,val,reliability,overconfidence,0.0,reliability_overconfidence_lambda0p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.0386900321116994,0.027005988795778032,0.024390243902439025,weibo21,42,val,reliability,overconfidence,0.05,reliability_overconfidence_lambda0p05,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.0386900321116994,0.027005988795778032,0.024390243902439025,weibo21,42,val,reliability,overconfidence,0.1,reliability_overconfidence_lambda0p1,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.0386900321116994,0.027005988795778032,0.024390243902439025,weibo21,42,val,reliability,overconfidence,0.2,reliability_overconfidence_lambda0p2,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874034902168165,0.03861947878437179,0.02437897259919628,0.024390243902439025,weibo21,42,val,reliability,overconfidence,0.5,reliability_overconfidence_lambda0p5,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874669487043892,0.03856752364945543,0.024362765288141783,0.022764227642276424,weibo21,42,val,reliability,overconfidence,1.0,reliability_overconfidence_lambda1p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9873717609730301,0.03869003231169586,0.027005501896482122,0.024390243902439025,weibo21,42,val,reliability,random,0.0,reliability_random_lambda0p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.98737176097303,0.0387281242931378,0.026929829519133083,0.024390243902439025,weibo21,42,val,reliability,random,0.05,reliability_random_lambda0p05,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874034902168164,0.038679130372588466,0.026998561985177832,0.024390243902439025,weibo21,42,val,reliability,random,0.1,reliability_random_lambda0p1,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874986779481755,0.03863333833053729,0.026819338578981076,0.022764227642276424,weibo21,42,val,reliability,random,0.2,reliability_random_lambda0p2,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9874563722897937,0.03865523170250061,0.026945809306691694,0.024390243902439025,weibo21,42,val,reliability,random,0.5,reliability_random_lambda0p5,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
615,0.9560859504132231,0.9560975609756097,0.9875304071919618,0.03854113992781584,0.0274815046490403,0.022764227642276424,weibo21,42,val,reliability,random,1.0,reliability_random_lambda1p0,/root/autodl-tmp/panda_repro/panda/param_model/FTmodel/checkpoints_by_seed/weibo21_seed42_parameter_panda.pkl,4926.0
