dataset,split,lambda,group,n_seeds,mean_jaccard_change_from_deterministic_mean,mean_jaccard_change_from_deterministic_std,mean_repeated_eval_selection_entropy_mean,mean_repeated_eval_selection_entropy_std,mean_pad_top1_top2_margin_mean,mean_pad_top1_top2_margin_std,offline_selected_weak_domain_neighbor_rate_mean,offline_selected_weak_domain_neighbor_rate_std,n_total_across_seeds
weibo21,test,0.0,weak_domain_samples,3,0.0,0.0,1.6653308958135626,0.0024206385264274742,16.823882841294814,0.028988103999130366,0.581989247311828,0.08947010344431514,372
weibo21,test,0.05,all,3,0.6052393857271908,0.08133934648408149,1.66946471474035,0.0011258319991530891,16.823691726312404,0.034656997709662817,0.32547425474254743,0.009935123457898824,1845
weibo21,test,0.05,high_conflict,3,0.6046176046176047,0.0826299469103631,1.6689995264078117,0.0027964259348403314,16.82361243194316,0.035145843847933234,0.3268398268398269,0.021124698372232822,462
weibo21,test,0.05,low_conflict,3,0.5844155844155845,0.14246305343640114,1.669467944087404,0.0033894412943899855,16.823569401002032,0.033654915402911115,0.12662337662337655,0.008590101659300652,462
weibo21,test,0.05,weak_domain_samples,3,0.6487455197132618,0.016425002490881184,1.6653308958135626,0.0024206385264274742,16.823882841294814,0.028988103999130366,0.6653225806451613,0.021336704121488616,372
weibo21,test,0.1,all,3,0.6052393857271908,0.08133934648408149,1.66946471474035,0.0011258319991530891,16.823691726312404,0.034656997709662817,0.32547425474254743,0.009935123457898824,1845
weibo21,test,0.1,high_conflict,3,0.6046176046176047,0.0826299469103631,1.6689995264078117,0.0027964259348403314,16.82361243194316,0.035145843847933234,0.3268398268398269,0.021124698372232822,462
weibo21,test,0.1,low_conflict,3,0.5844155844155845,0.14246305343640114,1.669467944087404,0.0033894412943899855,16.823569401002032,0.033654915402911115,0.12662337662337655,0.008590101659300652,462
weibo21,test,0.1,weak_domain_samples,3,0.6487455197132618,0.016425002490881184,1.6653308958135626,0.0024206385264274742,16.823882841294814,0.028988103999130366,0.6653225806451613,0.021336704121488616,372
weibo21,test,0.2,all,3,0.6052393857271908,0.08133934648408149,1.66946471474035,0.0011258319991530891,16.823691726312404,0.034656997709662817,0.32547425474254743,0.009935123457898824,1845
